"spp","source","odate"
"Virginia Rail","Opportunistic",292
"Virginia Rail","Opportunistic",292
"Virginia Rail","Opportunistic",270
"Virginia Rail","Opportunistic",270
"Virginia Rail","Opportunistic",270
"Virginia Rail","Opportunistic",244
"Virginia Rail","Opportunistic",275
"Virginia Rail","Opportunistic",275
"Virginia Rail","Opportunistic",266
"Virginia Rail","Opportunistic",214
"Virginia Rail","Opportunistic",298
"Virginia Rail","Opportunistic",298
"Virginia Rail","Opportunistic",298
"Virginia Rail","Opportunistic",241
"Virginia Rail","Opportunistic",272
"Virginia Rail","Opportunistic",272
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",277
"Virginia Rail","Opportunistic",273
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",253
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",260
"Virginia Rail","Opportunistic",267
"Virginia Rail","Opportunistic",267
"Virginia Rail","Opportunistic",242
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",285
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",287
"Virginia Rail","Opportunistic",285
"Virginia Rail","Opportunistic",248
"Virginia Rail","Opportunistic",242
"Virginia Rail","Opportunistic",255
"Virginia Rail","Opportunistic",290
"Virginia Rail","Opportunistic",294
"Virginia Rail","Opportunistic",239
"Virginia Rail","Opportunistic",240
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",243
"Virginia Rail","Opportunistic",243
"Virginia Rail","Opportunistic",245
"Virginia Rail","Opportunistic",271
"Virginia Rail","Opportunistic",257
"Virginia Rail","Opportunistic",275
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",214
"Virginia Rail","Opportunistic",220
"Virginia Rail","Opportunistic",237
"Virginia Rail","Opportunistic",228
"Virginia Rail","Opportunistic",228
"Virginia Rail","Opportunistic",236
"Virginia Rail","Opportunistic",265
"Virginia Rail","Opportunistic",250
"Virginia Rail","Opportunistic",266
"Virginia Rail","Opportunistic",263
"Virginia Rail","Opportunistic",263
"Virginia Rail","Opportunistic",273
"Virginia Rail","Opportunistic",275
"Virginia Rail","Opportunistic",283
"Virginia Rail","Opportunistic",296
"Virginia Rail","Opportunistic",316
"Virginia Rail","Opportunistic",241
"Virginia Rail","Opportunistic",230
"Virginia Rail","Opportunistic",220
"Virginia Rail","Opportunistic",220
"Virginia Rail","Opportunistic",213
"Virginia Rail","Opportunistic",240
"Virginia Rail","Opportunistic",248
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",239
"Virginia Rail","Opportunistic",304
"Virginia Rail","Opportunistic",330
"Virginia Rail","Opportunistic",330
"Virginia Rail","Opportunistic",274
"Virginia Rail","Opportunistic",274
"Virginia Rail","Opportunistic",285
"Virginia Rail","Opportunistic",243
"Virginia Rail","Opportunistic",217
"Virginia Rail","Opportunistic",222
"Virginia Rail","Opportunistic",290
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",237
"Virginia Rail","Opportunistic",236
"Virginia Rail","Opportunistic",235
"Virginia Rail","Opportunistic",236
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",235
"Virginia Rail","Opportunistic",237
"Virginia Rail","Opportunistic",237
"Virginia Rail","Opportunistic",236
"Virginia Rail","Opportunistic",237
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",214
"Virginia Rail","Opportunistic",215
"Virginia Rail","Opportunistic",215
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",218
"Virginia Rail","Opportunistic",219
"Virginia Rail","Opportunistic",215
"Virginia Rail","Opportunistic",224
"Virginia Rail","Opportunistic",222
"Virginia Rail","Opportunistic",221
"Virginia Rail","Opportunistic",233
"Virginia Rail","Opportunistic",243
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",229
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",223
"Virginia Rail","Opportunistic",214
"Virginia Rail","Opportunistic",214
"Virginia Rail","Opportunistic",213
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",219
"Virginia Rail","Opportunistic",218
"Virginia Rail","Opportunistic",225
"Virginia Rail","Opportunistic",223
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",219
"Virginia Rail","Opportunistic",213
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",244
"Virginia Rail","Opportunistic",282
"Virginia Rail","Opportunistic",282
"Virginia Rail","Opportunistic",242
"Virginia Rail","Opportunistic",231
"Virginia Rail","Opportunistic",230
"Virginia Rail","Opportunistic",236
"Virginia Rail","Opportunistic",237
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",221
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",233
"Virginia Rail","Opportunistic",239
"Virginia Rail","Opportunistic",215
"Virginia Rail","Opportunistic",222
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",228
"Virginia Rail","Opportunistic",235
"Virginia Rail","Opportunistic",226
"Virginia Rail","Opportunistic",239
"Virginia Rail","Opportunistic",241
"Virginia Rail","Opportunistic",247
"Virginia Rail","Opportunistic",247
"Virginia Rail","Opportunistic",247
"Virginia Rail","Opportunistic",234
"Virginia Rail","Opportunistic",227
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",219
"Virginia Rail","Opportunistic",270
"Yellow Rail","Opportunistic",289
"Yellow Rail","Opportunistic",288
"Yellow Rail","Opportunistic",302
"Yellow Rail","Opportunistic",289
"Yellow Rail","Opportunistic",275
"Yellow Rail","Opportunistic",280
"Yellow Rail","Opportunistic",310
"Yellow Rail","Opportunistic",298
"Yellow Rail","Opportunistic",298
"Yellow Rail","Opportunistic",298
"Yellow Rail","Opportunistic",286
"Yellow Rail","Opportunistic",294
"Yellow Rail","Opportunistic",294
"Yellow Rail","Opportunistic",292
"Yellow Rail","Opportunistic",296
"Yellow Rail","Opportunistic",287
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",278
"Yellow Rail","Opportunistic",244
"Yellow Rail","Opportunistic",290
"Yellow Rail","Opportunistic",290
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",267
"Yellow Rail","Opportunistic",273
"Yellow Rail","Opportunistic",287
"Yellow Rail","Opportunistic",249
"Yellow Rail","Opportunistic",271
"Yellow Rail","Opportunistic",273
"Yellow Rail","Opportunistic",286
"Yellow Rail","Opportunistic",286
"Yellow Rail","Opportunistic",286
"Yellow Rail","Opportunistic",286
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",277
"Yellow Rail","Opportunistic",277
"Yellow Rail","Opportunistic",294
"Yellow Rail","Opportunistic",255
"Yellow Rail","Opportunistic",256
"Yellow Rail","Opportunistic",258
"Yellow Rail","Opportunistic",289
"Yellow Rail","Opportunistic",289
"Yellow Rail","Opportunistic",289
"Yellow Rail","Opportunistic",289
"Yellow Rail","Opportunistic",267
"Yellow Rail","Opportunistic",293
"Yellow Rail","Opportunistic",280
"Yellow Rail","Opportunistic",280
"Yellow Rail","Opportunistic",289
"Virginia Rail","Opportunistic",277
"Virginia Rail","Opportunistic",320
"Virginia Rail","Opportunistic",289
"Yellow Rail","Opportunistic",298
"Virginia Rail","Opportunistic",215
"Virginia Rail","Opportunistic",222
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",238
"Virginia Rail","Opportunistic",223
"Yellow Rail","Opportunistic",239
"Virginia Rail","Opportunistic",319
"Virginia Rail","Opportunistic",284
"Virginia Rail","Opportunistic",294
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",281
"Virginia Rail","Opportunistic",279
"Virginia Rail","Opportunistic",286
"Virginia Rail","Opportunistic",297
"Yellow Rail","Opportunistic",282
"Yellow Rail","Opportunistic",284
"Yellow Rail","Opportunistic",279
"Yellow Rail","Opportunistic",290
"Yellow Rail","Opportunistic",300
"Yellow Rail","Opportunistic",302
"Yellow Rail","Opportunistic",294
"Yellow Rail","Opportunistic",293
"Yellow Rail","Opportunistic",294
"Yellow Rail","Opportunistic",278
"Virginia Rail","Opportunistic",244
"Virginia Rail","Opportunistic",267
"Virginia Rail","Opportunistic",269
"Virginia Rail","Opportunistic",269
"Virginia Rail","Opportunistic",256
"Yellow Rail","Opportunistic",267
"Yellow Rail","Opportunistic",267
"Yellow Rail","Opportunistic",269
"Yellow Rail","Opportunistic",265
"Yellow Rail","Opportunistic",254
"Virginia Rail","Opportunistic",307
"Virginia Rail","Opportunistic",307
"Yellow Rail","Opportunistic",290
"Yellow Rail","Opportunistic",301
"Yellow Rail","Opportunistic",286
"Yellow Rail","Opportunistic",297
"Virginia Rail","eBird",241
"Virginia Rail","eBird",267
"Virginia Rail","eBird",293
"Virginia Rail","eBird",271
"Virginia Rail","eBird",235
"Virginia Rail","eBird",235
"Virginia Rail","eBird",235
"Virginia Rail","eBird",246
"Virginia Rail","eBird",290
"Virginia Rail","eBird",259
"Virginia Rail","eBird",244
"Virginia Rail","eBird",273
"Virginia Rail","eBird",281
"Virginia Rail","eBird",281
"Virginia Rail","eBird",320
"Virginia Rail","eBird",318
"Virginia Rail","eBird",284
"Virginia Rail","eBird",226
"Virginia Rail","eBird",307
"Virginia Rail","eBird",298
"Virginia Rail","eBird",223
"Virginia Rail","eBird",230
"Virginia Rail","eBird",228
"Virginia Rail","eBird",242
"Virginia Rail","eBird",238
"Virginia Rail","eBird",263
"Virginia Rail","eBird",225
"Virginia Rail","eBird",261
"Virginia Rail","eBird",254
"Virginia Rail","eBird",254
"Virginia Rail","eBird",254
"Virginia Rail","eBird",230
"Virginia Rail","eBird",229
"Virginia Rail","eBird",229
"Virginia Rail","eBird",295
"Virginia Rail","eBird",296
"Virginia Rail","eBird",227
"Virginia Rail","eBird",305
"Virginia Rail","eBird",217
"Virginia Rail","eBird",217
"Virginia Rail","eBird",282
"Virginia Rail","eBird",293
"Virginia Rail","eBird",266
"Virginia Rail","eBird",294
"Virginia Rail","eBird",294
"Virginia Rail","eBird",293
"Virginia Rail","eBird",293
"Virginia Rail","eBird",277
"Virginia Rail","eBird",277
"Virginia Rail","eBird",295
"Virginia Rail","eBird",287
"Virginia Rail","eBird",287
"Virginia Rail","eBird",287
"Virginia Rail","eBird",287
"Virginia Rail","eBird",287
"Virginia Rail","eBird",287
"Virginia Rail","eBird",287
"Virginia Rail","eBird",300
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",291
"Virginia Rail","eBird",291
"Virginia Rail","eBird",291
"Virginia Rail","eBird",291
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",299
"Virginia Rail","eBird",295
"Virginia Rail","eBird",296
"Virginia Rail","eBird",301
"Virginia Rail","eBird",301
"Virginia Rail","eBird",328
"Virginia Rail","eBird",311
"Virginia Rail","eBird",296
"Virginia Rail","eBird",295
"Virginia Rail","eBird",316
"Virginia Rail","eBird",316
"Virginia Rail","eBird",311
"Virginia Rail","eBird",213
"Virginia Rail","eBird",292
"Virginia Rail","eBird",282
"Virginia Rail","eBird",292
"Virginia Rail","eBird",292
"Virginia Rail","eBird",292
"Virginia Rail","eBird",270
"Virginia Rail","eBird",270
"Virginia Rail","eBird",270
"Virginia Rail","eBird",244
"Virginia Rail","eBird",275
"Virginia Rail","eBird",275
"Virginia Rail","eBird",266
"Virginia Rail","eBird",214
"Virginia Rail","eBird",298
"Virginia Rail","eBird",298
"Virginia Rail","eBird",298
"Virginia Rail","eBird",241
"Virginia Rail","eBird",272
"Virginia Rail","eBird",272
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",279
"Virginia Rail","eBird",277
"Virginia Rail","eBird",273
"Virginia Rail","eBird",286
"Virginia Rail","eBird",279
"Virginia Rail","eBird",253
"Virginia Rail","eBird",238
"Virginia Rail","eBird",238
"Virginia Rail","eBird",238
"Virginia Rail","eBird",260
"Virginia Rail","eBird",267
"Virginia Rail","eBird",267
"Virginia Rail","eBird",242
"Virginia Rail","eBird",281
"Virginia Rail","eBird",285
"Virginia Rail","eBird",281
"Virginia Rail","eBird",287
"Virginia Rail","eBird",285
"Virginia Rail","eBird",248
"Virginia Rail","eBird",242
"Virginia Rail","eBird",255
"Virginia Rail","eBird",290
"Virginia Rail","eBird",294
"Virginia Rail","eBird",239
"Virginia Rail","eBird",240
"Virginia Rail","eBird",229
"Virginia Rail","eBird",243
"Virginia Rail","eBird",243
"Virginia Rail","eBird",245
"Virginia Rail","eBird",271
"Virginia Rail","eBird",257
"Virginia Rail","eBird",275
"Virginia Rail","eBird",279
"Virginia Rail","eBird",229
"Virginia Rail","eBird",214
"Virginia Rail","eBird",220
"Virginia Rail","eBird",237
"Virginia Rail","eBird",228
"Virginia Rail","eBird",228
"Virginia Rail","eBird",236
"Virginia Rail","eBird",265
"Virginia Rail","eBird",250
"Virginia Rail","eBird",266
"Virginia Rail","eBird",263
"Virginia Rail","eBird",263
"Virginia Rail","eBird",273
"Virginia Rail","eBird",275
"Virginia Rail","eBird",283
"Virginia Rail","eBird",296
"Virginia Rail","eBird",316
"Virginia Rail","eBird",241
"Virginia Rail","eBird",230
"Virginia Rail","eBird",220
"Virginia Rail","eBird",220
"Virginia Rail","eBird",213
"Virginia Rail","eBird",240
"Virginia Rail","eBird",248
"Virginia Rail","eBird",226
"Virginia Rail","eBird",229
"Virginia Rail","eBird",239
"Virginia Rail","eBird",304
"Virginia Rail","eBird",330
"Virginia Rail","eBird",330
"Virginia Rail","eBird",274
"Virginia Rail","eBird",274
"Virginia Rail","eBird",285
"Virginia Rail","eBird",243
"Virginia Rail","eBird",217
"Virginia Rail","eBird",222
"Virginia Rail","eBird",290
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",286
"Virginia Rail","eBird",229
"Virginia Rail","eBird",237
"Virginia Rail","eBird",236
"Virginia Rail","eBird",235
"Virginia Rail","eBird",236
"Virginia Rail","eBird",229
"Virginia Rail","eBird",235
"Virginia Rail","eBird",237
"Virginia Rail","eBird",237
"Virginia Rail","eBird",236
"Virginia Rail","eBird",237
"Virginia Rail","eBird",227
"Virginia Rail","eBird",227
"Virginia Rail","eBird",214
"Virginia Rail","eBird",215
"Virginia Rail","eBird",215
"Virginia Rail","eBird",227
"Virginia Rail","eBird",218
"Virginia Rail","eBird",219
"Virginia Rail","eBird",215
"Virginia Rail","eBird",224
"Virginia Rail","eBird",222
"Virginia Rail","eBird",221
"Virginia Rail","eBird",233
"Virginia Rail","eBird",243
"Virginia Rail","eBird",229
"Virginia Rail","eBird",229
"Virginia Rail","eBird",227
"Virginia Rail","eBird",223
"Virginia Rail","eBird",214
"Virginia Rail","eBird",214
"Virginia Rail","eBird",213
"Virginia Rail","eBird",226
"Virginia Rail","eBird",219
"Virginia Rail","eBird",218
"Virginia Rail","eBird",225
"Virginia Rail","eBird",223
"Virginia Rail","eBird",226
"Virginia Rail","eBird",226
"Virginia Rail","eBird",219
"Virginia Rail","eBird",213
"Virginia Rail","eBird",227
"Virginia Rail","eBird",244
"Virginia Rail","eBird",282
"Virginia Rail","eBird",282
"Virginia Rail","eBird",242
"Virginia Rail","eBird",231
"Virginia Rail","eBird",230
"Virginia Rail","eBird",236
"Virginia Rail","eBird",237
"Virginia Rail","eBird",226
"Virginia Rail","eBird",226
"Virginia Rail","eBird",238
"Virginia Rail","eBird",221
"Virginia Rail","eBird",227
"Virginia Rail","eBird",233
"Virginia Rail","eBird",239
"Virginia Rail","eBird",215
"Virginia Rail","eBird",222
"Virginia Rail","eBird",227
"Virginia Rail","eBird",228
"Virginia Rail","eBird",235
"Virginia Rail","eBird",226
"Virginia Rail","eBird",239
"Virginia Rail","eBird",241
"Virginia Rail","eBird",247
"Virginia Rail","eBird",247
"Virginia Rail","eBird",247
"Virginia Rail","eBird",234
"Virginia Rail","eBird",227
"Virginia Rail","eBird",281
"Virginia Rail","eBird",219
"Virginia Rail","eBird",270
"Yellow Rail","eBird",289
"Yellow Rail","eBird",288
"Yellow Rail","eBird",302
"Yellow Rail","eBird",289
"Yellow Rail","eBird",275
"Yellow Rail","eBird",280
"Yellow Rail","eBird",310
"Yellow Rail","eBird",298
"Yellow Rail","eBird",298
"Yellow Rail","eBird",298
"Yellow Rail","eBird",286
"Yellow Rail","eBird",294
"Yellow Rail","eBird",294
"Yellow Rail","eBird",292
"Yellow Rail","eBird",296
"Yellow Rail","eBird",287
"Yellow Rail","eBird",279
"Yellow Rail","eBird",278
"Yellow Rail","eBird",244
"Yellow Rail","eBird",290
"Yellow Rail","eBird",290
"Yellow Rail","eBird",279
"Yellow Rail","eBird",279
"Yellow Rail","eBird",279
"Yellow Rail","eBird",279
"Yellow Rail","eBird",279
"Yellow Rail","eBird",279
"Yellow Rail","eBird",267
"Yellow Rail","eBird",273
"Yellow Rail","eBird",287
"Yellow Rail","eBird",249
"Yellow Rail","eBird",271
"Yellow Rail","eBird",273
"Yellow Rail","eBird",286
"Yellow Rail","eBird",286
"Yellow Rail","eBird",286
"Yellow Rail","eBird",286
"Yellow Rail","eBird",279
"Yellow Rail","eBird",277
"Yellow Rail","eBird",277
"Yellow Rail","eBird",294
"Yellow Rail","eBird",255
"Yellow Rail","eBird",256
"Yellow Rail","eBird",258
"Yellow Rail","eBird",289
"Yellow Rail","eBird",289
"Yellow Rail","eBird",289
"Yellow Rail","eBird",289
"Yellow Rail","eBird",267
"Yellow Rail","eBird",293
"Yellow Rail","eBird",280
"Yellow Rail","eBird",280
"Yellow Rail","eBird",289
"Virginia Rail","Building Strikes",277
"Virginia Rail","Building Strikes",320
"Virginia Rail","Building Strikes",289
"Yellow Rail","Building Strikes",298
"Yellow Rail","This Study",234
"Virginia Rail","This Study",275
"Virginia Rail","This Study",275
"Virginia Rail","This Study",275
"Virginia Rail","This Study",275
"Virginia Rail","This Study",275
"Virginia Rail","This Study",275
"Virginia Rail","This Study",275
"Virginia Rail","This Study",266
"Yellow Rail","This Study",274
"Virginia Rail","This Study",256
"Virginia Rail","This Study",279
"Virginia Rail","This Study",279
"Yellow Rail","This Study",293
"Yellow Rail","This Study",287
"Virginia Rail","This Study",287
"Virginia Rail","This Study",273
"Virginia Rail","This Study",279
"Virginia Rail","This Study",237
"Yellow Rail","This Study",278
"Virginia Rail","This Study",278
"Virginia Rail","This Study",278
"Virginia Rail","This Study",252
"Yellow Rail","This Study",269
"Yellow Rail","This Study",269
"Virginia Rail","This Study",269
"Yellow Rail","This Study",269
"Yellow Rail","This Study",269
"Yellow Rail","This Study",269
"Virginia Rail","This Study",252
"Yellow Rail","This Study",269
"Yellow Rail","This Study",269
"Virginia Rail","This Study",252
"Virginia Rail","This Study",269
"Yellow Rail","This Study",269
"Virginia Rail","This Study",252
"Yellow Rail","This Study",274
"Virginia Rail","This Study",274
"Virginia Rail","This Study",269
"Yellow Rail","This Study",269
"Yellow Rail","This Study",269
"Virginia Rail","This Study",256
"Virginia Rail","This Study",286
"Virginia Rail","This Study",278
"Virginia Rail","This Study",286
"Yellow Rail","This Study",273
"Yellow Rail","This Study",273
"Yellow Rail","This Study",273
"Yellow Rail","This Study",273
"Yellow Rail","This Study",273
"Virginia Rail","This Study",273
"Virginia Rail","This Study",273
"Yellow Rail","This Study",268
"Virginia Rail","This Study",268
"Virginia Rail","This Study",268
"Virginia Rail","This Study",268
"Virginia Rail","This Study",268
"Virginia Rail","This Study",268
"Yellow Rail","This Study",268
"Virginia Rail","This Study",268
"Yellow Rail","This Study",268
"Yellow Rail","This Study",268
"Yellow Rail","This Study",268
"Virginia Rail","This Study",268
"Virginia Rail","This Study",260
"Yellow Rail","This Study",277
"Virginia Rail","This Study",277
"Virginia Rail","This Study",283
"Virginia Rail","This Study",283
"Yellow Rail","This Study",283
"Virginia Rail","This Study",283
"Virginia Rail","This Study",283
"Virginia Rail","This Study",283
"Virginia Rail","This Study",287
"Virginia Rail","This Study",293
"Virginia Rail","This Study",293
"Virginia Rail","This Study",269
"Virginia Rail","This Study",262
"Virginia Rail","This Study",282
"Virginia Rail","This Study",266
"Virginia Rail","This Study",283
"Virginia Rail","This Study",283
"Virginia Rail","This Study",283
"Virginia Rail","This Study",283
"Virginia Rail","This Study",254
"Yellow Rail","This Study",283
"Virginia Rail","This Study",296
"Virginia Rail","This Study",293
"Virginia Rail","This Study",293
"Virginia Rail","This Study",266
"Virginia Rail","This Study",228
"Virginia Rail","This Study",228
"Virginia Rail","This Study",228
"Virginia Rail","This Study",228
"Yellow Rail","This Study",272
"Yellow Rail","This Study",254
"Yellow Rail","This Study",272
"Yellow Rail","This Study",272
"Yellow Rail","This Study",276
"Yellow Rail","This Study",263
"Virginia Rail","This Study",244
"Yellow Rail","This Study",272
"Virginia Rail","This Study",272
"Yellow Rail","This Study",267
"Yellow Rail","This Study",267
"Virginia Rail","This Study",267
"Virginia Rail","This Study",267
"Virginia Rail","This Study",228
"Virginia Rail","This Study",244
"Virginia Rail","This Study",244
"Yellow Rail","This Study",263
"Virginia Rail","This Study",296
"Yellow Rail","This Study",267
"Virginia Rail","This Study",271
"Yellow Rail","This Study",273
"Yellow Rail","This Study",274
"Yellow Rail","This Study",275
"Yellow Rail","This Study",275
"Yellow Rail","This Study",275
"Virginia Rail","This Study",279
"Virginia Rail","This Study",291
"Virginia Rail","This Study",291
"Virginia Rail","This Study",292
"Virginia Rail","This Study",292
"Yellow Rail","This Study",292
"Yellow Rail","This Study",292
"Yellow Rail","This Study",292
"Yellow Rail","This Study",294
"Yellow Rail","This Study",295
"Virginia Rail","This Study",296
"Yellow Rail","This Study",296
"Yellow Rail","This Study",245
"Virginia Rail","This Study",248
"Yellow Rail","This Study",248
"Virginia Rail","This Study",258
"Virginia Rail","This Study",263
"Yellow Rail","This Study",264
"Virginia Rail","This Study",264
"Virginia Rail","This Study",264
"Virginia Rail","This Study",270
"Virginia Rail","This Study",270
"Virginia Rail","This Study",276
"Virginia Rail","This Study",276
"Yellow Rail","This Study",284
"Yellow Rail","This Study",284
"Yellow Rail","This Study",284
"Yellow Rail","This Study",284
"Virginia Rail","This Study",286
"Yellow Rail","This Study",286
"Yellow Rail","This Study",286
"Virginia Rail","This Study",287
"Virginia Rail","This Study",287
"Yellow Rail","This Study",287
"Yellow Rail","This Study",287
"Virginia Rail","This Study",288
"Virginia Rail","This Study",288
"Virginia Rail","This Study",288
"Yellow Rail","This Study",290
"Virginia Rail","This Study",291
"Virginia Rail","This Study",292
"Yellow Rail","This Study",293
"Yellow Rail","This Study",245
"Virginia Rail","This Study",248
"Yellow Rail","This Study",248
"Virginia Rail","This Study",258
"Virginia Rail","This Study",263
"Yellow Rail","This Study",264
"Virginia Rail","This Study",264
"Virginia Rail","This Study",264
"Virginia Rail","This Study",270
"Virginia Rail","This Study",270
"Virginia Rail","This Study",276
"Virginia Rail","This Study",276
"Yellow Rail","This Study",284
"Yellow Rail","This Study",284
"Yellow Rail","This Study",284
"Yellow Rail","This Study",284
"Virginia Rail","This Study",286
"Yellow Rail","This Study",286
"Yellow Rail","This Study",286
"Virginia Rail","This Study",287
"Virginia Rail","This Study",287
"Yellow Rail","This Study",287
